Wavelength_nm_,x_gamma__infty_N__SWG__14,x_gamma__infty_N__SWG__10,x_gamma__infty_N__SWG__6,x_gamma__infty_N__SWG__2,x_gamma_120_N__SWG__14,x_gamma_120_N__SWG__10,x_gamma_120_N__SWG__6,x_gamma_120_N__SWG__2,x_gamma_100_N__SWG__14,x_gamma_100_N__SWG__10,x_gamma_100_N__SWG__6,x_gamma_100_N__SWG__2,x_gamma_80_N__SWG__14,x_gamma_80_N__SWG__10,x_gamma_80_N__SWG__6,x_gamma_80_N__SWG__2,x_gamma_60_N__SWG__14,x_gamma_60_N__SWG__10,x_gamma_60_N__SWG__6,x_gamma_60_N__SWG__2
1.451,3.32606667034539,2.37576190738957,1.42545714443374,0.475152381477914,2.92149582387642,2.0867827313403,1.25206963880418,0.417356546268059,2.88448593692042,2.0603470978003,1.23620825868018,0.41206941956006,2.87366476765638,2.05261769118313,1.23157061470988,0.410523538236626,2.99084348220015,2.13631677300011,1.28179006380006,0.427263354600022
1.452,3.32625859380017,2.37589899557155,1.42553939734293,0.47517979911431,2.92172986256169,2.08694990182978,1.25216994109787,0.417389980365956,2.88448358541176,2.06034541815125,1.23620725089075,0.412069083630251,2.87318345372064,2.05227389551475,1.23136433730885,0.410454779102949,2.98930666425246,2.13521904589461,1.28113142753677,0.427043809178923
1.453,3.32645236551076,2.37603740393626,1.42562244236175,0.475207480787251,2.92196439108785,2.08711742220561,1.25227045332337,0.417423484441122,2.88448338608736,2.06034527577669,1.23620716546601,0.412069055155337,2.87270709342072,2.05193363815766,1.23116018289459,0.410386727631531,2.98777700581158,2.13412643272256,1.28047585963354,0.426825286544512
1.454,3.32664798166372,2.3761771297598,1.42570627785588,0.47523542595196,2.92219940844424,2.08728529174589,1.25237117504753,0.417457058349177,2.88448533450671,2.0603466675048,1.23620800050288,0.412069333500959,2.8722356765359,2.05159691181136,1.23095814708681,0.410319382362271,2.9862544921055,2.1330389229325,1.2798233537595,0.426607784586501
1.455,3.32684543845608,2.37631817032577,1.42579090219546,0.475263634065154,2.92243491362293,2.08745350973067,1.2524721058384,0.417490701946134,2.88448942624146,2.06034959017247,1.23620975410348,0.412069918034495,2.87176919287359,2.05126370919542,1.23075822551725,0.410252741839084,2.9847391084028,2.131956506002,1.2791739036012,0.4263913012004
1.456,3.3270447320953,2.37646052292521,1.42587631375513,0.475292104585042,2.92267090561883,2.08762207544202,1.25257324526521,0.417524415088404,2.88449565687545,2.06035404062532,1.23621242437519,0.412070808125064,2.87130763226917,2.05093402304941,1.23056041382964,0.410186804609881,2.98323084001254,2.13087917143753,1.27852750286252,0.426175834287506
1.457,3.32724585879926,2.37660418485662,1.42596251091397,0.475320836971323,2.92290738342954,2.08779098816396,1.25267459289838,0.417558197632792,2.88450402200461,2.06036001571758,1.23621600943055,0.412072003143515,2.87085098458594,2.05060784613281,1.23036470767969,0.410121569226563,2.98172967228411,2.12980690877436,1.27788414526462,0.425961381754872
1.458,3.32744881479625,2.37674915342589,1.42604949205554,0.475349830685179,2.92314434605547,2.08796024718248,1.25277614830949,0.417592049436495,2.884514517237,2.06036751231214,1.23622050738728,0.412073502462428,2.87039923971502,2.05028517122501,1.23017110273501,0.410057034245002,2.9802355906071,2.1287397075765,1.2772438245459,0.4257479415153
1.459,3.32765359632485,2.37689542594632,1.42613725556779,0.475379085189264,2.9233817924997,2.0881298517855,1.2528779110713,0.4176259703571,2.88452713819267,2.06037652728048,1.23622591636829,0.412075305456096,2.8699523875752,2.04996599112515,1.22997959467509,0.409993198225029,2.97874858041114,2.12767755743653,1.27660653446192,0.425535511487306
1.46,3.32786019963396,2.37704299973854,1.42622579984313,0.475408599947709,2.92361972176812,2.08829980126294,1.25297988075776,0.417659960252588,2.88454188050371,2.06038705750265,1.23623223450159,0.41207741150053,2.86951041811297,2.04965029865212,1.22979017919127,0.409930059730425,2.9772686271658,2.12662044797557,1.27597226878534,0.425324089595115
1.461,3.32806862098278,2.37719187213056,1.42631512327833,0.475438374426112,2.92385813286928,2.08847009490663,1.25308205694398,0.417694018981326,2.88455873981416,2.06039909986725,1.23623945992035,0.412079819973451,2.86907332130227,2.04933808664448,1.22960285198669,0.409867617328896,2.97579571638042,2.12556836884315,1.27534102130589,0.425113673768631
1.462,3.32827885664072,2.37734204045766,1.42640522427459,0.475468408091531,2.9240970248145,2.08864073201035,1.25318443920621,0.417728146402071,2.88457771177996,2.0604126512714,1.23624759076284,0.412082530254279,2.8686410871445,2.04902934796036,1.22941760877622,0.409805869592072,2.97432983360398,2.12452130971713,1.27471278583028,0.424904261943426
1.463,3.32849090288738,2.37749350206241,1.42649610123745,0.475498700412482,2.92433639661773,2.08881171186981,1.25328702712189,0.417762342373962,2.88459879206894,2.06042770862067,1.2362566251724,0.412085541724134,2.8682137056684,2.04872407547743,1.22923444528646,0.409744815095486,2.97287096442499,2.12347926030356,1.27408755618214,0.424695852060713
1.464,3.32870475601253,2.37764625429467,1.4265877525768,0.475529250858933,2.92457624729568,2.08898303378263,1.25338982026958,0.417796606756526,2.88462197636077,2.06044426882912,1.23626656129747,0.412088853765824,2.86779116692996,2.04842226209283,1.2290533572557,0.409684452418565,2.97141909447132,2.12244221033666,1.27346532620199,0.424488442067331
1.465,3.3289204123161,2.3778002945115,1.4266801767069,0.475560058902301,2.92481657586772,2.08915469704837,1.25349281822902,0.417830939409674,2.88464726034691,2.06046232881922,1.23627739729153,0.412092465763844,2.86737346101229,2.04812390072306,1.22887434043384,0.409624780144613,2.96997420941007,2.12141014957862,1.27284608974717,0.424282029915725
1.466,3.32913786810808,2.3779556200772,1.42677337204632,0.475591124015441,2.92505738135588,2.08932670096848,1.25359602058109,0.417865340193697,2.88467463973058,2.06048188552184,1.23628913131311,0.412096377104369,2.8669605780256,2.047828984304,1.2286973905824,0.4095657968608,2.9685362949475,2.12038306781964,1.27222984069179,0.424076613563929
1.467,3.32935711970855,2.37811222836325,1.42686733701795,0.47562244567265,2.92529866278487,2.08949904484634,1.2536994269078,0.417899808969267,2.88470411022672,2.06050293587623,1.23630176152574,0.412100587175245,2.86655250810703,2.04753750579074,1.22852250347444,0.409507501158147,2.96710533682877,2.11936095487769,1.27161657292661,0.423872190975538
