Wavelength_nm_,m
1501.808,-0.0747699307248103
1501.812,-0.0747699169072501
1501.816,-0.0747699032769473
1501.82,-0.0747698898337694
1501.824,-0.0747698765774562
1501.828,-0.0747698635078587
1501.832,-0.0747698506246146
1501.836,-0.0747698379274344
1501.84,-0.0747698254161543
1501.844,-0.0747698130903897
1501.848,-0.0747698009502479
1501.852,-0.0747697889954856
1501.856,-0.0747697772258822
1501.86,-0.074769765641254
1501.864,-0.0747697542415183
1501.868,-0.0747697430264148
1501.872,-0.0747697319957303
1501.876,-0.0747697211495265
1501.88,-0.0747697104872701
1501.884,-0.0747697000087872
1501.888,-0.0747696897138623
1501.892,-0.0747696796021706
1501.896,-0.0747696696736436
1501.9,-0.0747696599280879
1501.904,-0.0747696503652517
1501.908,-0.0747696409849172
1501.912,-0.0747696317870034
1501.916,-0.0747696227711406
1501.92,-0.0747696139369746
1501.924,-0.0747696052844622
1501.928,-0.0747695968134079
1501.932,-0.074769588523791
1501.936,-0.0747695804152767
1501.94,-0.0747695724873715
1501.944,-0.0747695647398771
1501.948,-0.0747695571724567
1501.952,-0.0747695497846722
1501.956,-0.0747695425764053
1501.96,-0.0747695355473007
1501.964,-0.0747695286970036
1501.968,-0.0747695220251308
1501.972,-0.0747695155310194
1501.976,-0.0747695092145744
1501.98,-0.0747695030754946
1501.984,-0.0747694971133873
1501.988,-0.0747694913276337
1501.992,-0.0747694856435061
1501.996,-0.0747694800148432
1502,-0.0747694744415602
1502.004,-0.0747694689231603
1502.008,-0.0747694634595253
1502.012,-0.0747694580503925
1502.016,-0.0747694526952014
1502.02,-0.0747694473935936
1502.024,-0.0747694421455424
1502.028,-0.0747694369504452
1502.032,-0.0747694318078448
1502.036,-0.0747694267173971
1502.04,-0.0747694216788885
1502.044,-0.0747694166919629
1502.048,-0.0747694117560342
1502.052,-0.0747694068707249
1502.056,-0.0747694020359779
1502.06,-0.0747693972512994
1502.064,-0.0747693925161242
1502.068,-0.0747693878302725
1502.072,-0.0747693831932733
1502.076,-0.0747693786048037
1502.08,-0.0747693740645776
1502.084,-0.0747693695720504
1502.088,-0.0747693651269754
1502.092,-0.0747693607287684
1502.096,-0.0747693563775762
1502.1,-0.0747693520727328
1502.104,-0.0747693478139925
1502.108,-0.0747693436016105
1502.112,-0.0747693394347529
1502.116,-0.0747693353134464
1502.12,-0.0747693312374832
1502.124,-0.0747693272066107
1502.128,-0.0747693232203512
1502.132,-0.0747693192784024
1502.136,-0.074769315380652
1502.14,-0.0747693115270539
1502.144,-0.0747693077177664
1502.148,-0.0747693039521496
1502.152,-0.0747693002305222
1502.156,-0.074769296552679
1502.16,-0.0747692929185109
1502.164,-0.0747692893277655
1502.168,-0.074769285780424
1502.172,-0.0747692822762542
1502.176,-0.0747692788151878
1502.18,-0.0747692753970807
1502.184,-0.0747692720221083
1502.188,-0.0747692686901772
1502.192,-0.0747692654009785
1502.196,-0.0747692621543713
1502.2,-0.0747692589504249
1502.204,-0.0747692557891547
1502.208,-0.0747692526703916
1502.212,-0.074769249594222
1502.216,-0.0747692465603961
1502.22,-0.0747692435685978
